postsyn_consensus_list,presyn_consensus
DNM1,AAK1
ADAM22,ATP6V0A1
CAMK2A,ATP6V1B1
CDK5,ATP8A1
CNTNAP1,CADM1
DLG2,DNM3
KALRN,EXOC3
NCKAP1,EXOC4
NEFL,FLOT1
PPP3CA,FLOT2
RAC1,GLUL
SHANK1,GRM2
SPTBN1,GRM3
SYNGAP1,KCNA3
YWHAE,KCNAB2
ANK2,KCNJ3
BAIAP2,NAPA
CAMK2B,NAPB
CAMK2G,NCSTN
CAPZA2,NFASC
CASKIN1,NRXN1
CNTN1,PDE2A
CYFIP1,PFN2
CYFIP2,RAB10
DLG1,RAB11B
DLGAP1,RAB14
EPB41L3,RAB1A
GLUL,RAB2A
GNB1,RAB4A
GRIN1,RAB4B
GRIN2B,RAB5B
GRM3,RAB6A
IQSEC1,RAB7
IQSEC2,RAB8A
KIF5C,RGS7
LGI1,RTN4
MAPK1,SCAMP1
NSF,SLC1A2
PRKCB,SLC2A3
PURA,SLC6A1
SHANK2,SLC9A6
YWHAB,SNAP25
YWHAG,STX12
YWHAZ,STX1A
ABI1,STX1B
ABLIM1,STXBP1
ABR,SV2A
ADD1,SV2B
AGAP2,SYNPR
ANKS1B,SYP
ATP1A1,SYT2
BASP1,SYT7
CAMK2D,VAMP2
CFL1,VAMP3
CLTC,VAMP7
DLG3,39692
DLG4,4932438A13RIK
DLGAP2,6330403A02RIK
DLGAP3,A830010M20RIK
DLGAP4,ABCC8
DNAJC6,ACHE
DNM3,ACTA1
DPYSL2,ACTB
DSTN,ACTG1
DYNC1H1,ACTN2
ERC2,ACTR1A
EXOC4,ADAM10
FBXO41,ADAM23
FYN,ADCY8
GAP43,ADCYAP1
GNAO1,ADCYAP1R1
GRIA1,ADGRL1
GRIA2,ADORA1
GRIA3,ADORA2A
GRIN2A,ADRA1A
GRM5,ADRA2A
HOMER1,ADRA2C
INA,AGPAT1
KCNAB2,AHCY
MACF1,AKR1E1
MAP1A,AKR1E2
MAP1B,ALCAM
MAP2,ALPL
MAP2K1,AMPH
MAPT,ANKS1B
MPP2,ANXA5
NCDN,ANXA7
NEFH,AP1B1
NEFM,AP1G1
NRXN1,AP1S1
PALM,AP2A2
PGAM5,AP2B1
PHB2,AP2S1
PLCB1,AP3D1
PLP1,APBA1
PPIA,APBA2
PRDX2,APBB1
PRKACB,APH1A
PRKCG,APLP2
PTPRS,APP
RAPGEF2,AQP1
RAPGEF4,ARF1
RPL12,ARHGAP44
RPL38,ARL6IP5
RPL4,ARL8B
RPL6,ARPC2
RPL7,ASPM
RPL8,ASTN1
RPLP0,ATG9A
RPS13,ATL2
RPS19,ATP1A1
RTN1,ATP1A2
SEPT3,ATP1A3
SFXN3,ATP1B1
SHANK3,ATP1B3
SNAP91,ATP2B1
STX1A,ATP2B2
SYN3,ATP2B3
SYNPO,ATP2B4
TNR,ATP5F1
TPM3,ATP6AP2
TPPP,ATP6V0C
UBA1,ATP6V0D1
WASF1,ATP6V1D
YWHAH,ATP6V1G1
YWHAQ,ATP6V1G2
