postsyn_consensus_list,presyn_consensus,ER_consensus,Golgi_consensus,mito_consensus,cytoskeleton_consensus,cytoplasm_consensus,nucleus_consensus
DNM1,ATP6V1B1,BCAP31,GOLGA5,ABCB7,CALD1,DPP3,TMPO
ADAM22,KCNA3,CALU,CASC4,ACADM,CDC42EP4,GALK1,ADNP
CAMK2A,KCNJ3,DNAJC3,FAM20B,ATP5J,LIMA1,MTAP,AHCTF1
CDK5,NCSTN,NSDHL,GALNT2,CPOX,PDLIM1,PREP,ARID1A
CNTNAP1,RAB4A,PRDX4,GOLPH3,CPT2,TACC1,SHMT1,ATM
DLG2,RAB7,ALG9,IMPAD1,ECH1,TUBB4A,ST13,ATRX
KALRN,SCAMP1,ANKLE2,MAN2A1,ECHS1,AAMP,TKFC,BAZ1B
NCKAP1,SLC2A3,ASPH,MGAT2,GCDH,ABCB4,UCHL3,BOP1
NEFL,SLC6A1,ATL3,RER1,GPT2,ACTBL2,ACAT2,BRD2
PPP3CA,SLC9A6,BNIP1,ZDHHC17,GRPEL1,ACTC1,ADH5,BRD3
RAC1,SYNPR,CCDC47,ZFPL1,HINT2,ACTG2,ADSS,BRD4
SHANK1,VAMP7,CISD2,AKAP9,IVD,AFAP1,AKR1B3,CBX5
SPTBN1,39692,CLCC1,ARFRP1,MPST,ALS2,ALDH1A1,CENPV
SYNGAP1,4932438A13RIK,CNPY2,B4GALT1,MRPL12,APBB3,APEH,CHAMP1
YWHAE,6330403A02RIK,CYB5A,CUX1,MRPL28,ATF4,APRT,CHD4
ANK2,A830010M20RIK,DHCR7,FAM3C,MRPS23,C2CD3,ARF4,CHD8
BAIAP2,ABCC8,DNAJB11,GALNT1,MRPS7,CAMSAP2,ARMC6,CTCF
CAMK2B,ACHE,DNAJB12,GALNT7,MTX2,CCDC40,ASL,DDX18
CAMK2G,ACTG1,EDEM3,GOLGA2,OAT,CCDC64B,ASNS,DDX51
CAPZA2,ADAM10,FDFT1,GOLGB1,PMPCA,CCDC88C,ATG3,DEK
CASKIN1,ADCYAP1,LCLAT1,GOLIM4,PPA2,CDC42EP1,ATOX1,DIDO1
CNTN1,ADCYAP1R1,LPCAT1,GORASP1,SLC25A10,CDC42EP2,BLVRA,DMAP1
CYFIP1,ADORA1,MOGS,HS2ST1,SUCLG2,CENPE,CAR2,DNMT1
CYFIP2,ADORA2A,PRKCSH,SLC30A5,TST,CENPU,CDC37,DNMT3A
DLG1,ADRA1A,RCN1,SLC38A10,AARS2,CEP120,CDK4,DPF2
DLGAP1,ADRA2A,SEC61A1,TMEM115,ABHD10,CEP128,CRLF3,EZH2
